TeamName,LeagueName
Penn St,Big Ten
Purdue,Big Ten
Rutgers,Big Ten
Wisconsin,Big Ten
Cal Poly SLO,Big West
CS Fullerton,Big West
CS Northridge,Big West
Hawaii,Big West
Long Beach St,Big West
UC Davis,Big West
UC Irvine,Big West
UC Riverside,Big West
Santa Barbara,Big West
Charlotte,C-USA
Florida Intl,C-USA
FL Atlantic,C-USA
Louisiana Tech,C-USA
Marshall,C-USA
MTSU,C-USA
North Texas,C-USA
Old Dominion,C-USA
Rice,C-USA
Southern Miss,C-USA
UAB,C-USA
UTEP,C-USA
UT San Antonio,C-USA
WKU,C-USA
Col Charleston,CAA
Delaware,CAA
Drexel,CAA
Elon,CAA
Hofstra,CAA
James Madison,CAA
Northeastern,CAA
Towson,CAA
UNC Wilmington,CAA
William & Mary,CAA
W Salem St,CIAA
Brooklyn,CUNYAC
Utica,Empire 8
Cleveland St,Horizon
Detroit,Horizon
WI Green Bay,Horizon
IL Chicago,Horizon
IUPUI,Horizon
WI Milwaukee,Horizon
N Kentucky,Horizon
Oakland,Horizon
Wright St,Horizon
Youngstown St,Horizon
Brown,Ivy League
Columbia,Ivy League
Cornell,Ivy League
Dartmouth,Ivy League
Harvard,Ivy League
Penn,Ivy League
Princeton,Ivy League
Yale,Ivy League
W Texas A&M,Lone Start
Canisius,MAAC
Fairfield,MAAC
Iona,MAAC
Manhattan,MAAC
Marist,MAAC
Monmouth NJ,MAAC
Niagara,MAAC
Quinnipiac,MAAC
Rider,MAAC
St Peter's,MAAC
Siena,MAAC
Akron,MAC
Ball St,MAC
Bowling Green,MAC
Buffalo,MAC
C Michigan,MAC
E Michigan,MAC
Kent,MAC
Miami OH,MAC
N Illinois,MAC
Ohio,MAC
Toledo,MAC
W Michigan,MAC
NE Illinois,MAC
Bethune-Cookman,MEAC
Coppin St,MEAC
Delaware St,MEAC
Florida A&M,MEAC
Hampton,MEAC
Howard,MEAC
Morgan St,MEAC
NC A&T,MEAC
NC Central,MEAC
Norfolk St,MEAC
Savannah St,MEAC
S Carolina St,MEAC
MD E Shore,MEAC
Bradley,MVC
Drake,MVC
Evansville,MVC
Illinois St,MVC
Indiana St,MVC
Loyola-Chicago,MVC
Missouri St,MVC
S Illinois,MVC
Northern Iowa,MVC
Valparaiso,MVC
Air Force,MWC
Boise St,MWC
Colorado St,MWC
Fresno St,MWC
Nevada,MWC
New Mexico,MWC
San Diego St,MWC
San Jose St,MWC
UNLV,MWC
Utah St,MWC
Wyoming,MWC
Morris Brown,N/A
Alliant Intl,N/A
Bryant,NEC
Central Conn,NEC
F Dickinson,NEC
Long Island,NEC
Mt St Mary's,NEC
Robert Morris,NEC
Sacred Heart,NEC
St Francis PA,NEC
St Francis NY,NEC
Wagner,NEC
Austin Peay,OVC
Belmont,OVC
E Illinois,OVC
E Kentucky,OVC
Jacksonville St,OVC
Morehead St,OVC
Murray St,OVC
Edwardsville,OVC
SE Missouri St,OVC
Tennessee St,OVC
Tennessee Tech,OVC
TN Martin,OVC
Arizona,Pac-12
Arizona St,Pac-12
California,Pac-12
Colorado,Pac-12
Oregon,Pac-12
Oregon St,Pac-12
USC,Pac-12
Stanford,Pac-12
UCLA,Pac-12
Utah,Pac-12
Washington,Pac-12
Washington St,Pac-12
American Univ,Patriot
Army,Patriot
Boston Univ,Patriot
Bucknell,Patriot
Colgate,Patriot
Holy Cross,Patriot
Lafayette,Patriot
Lehigh,Patriot
Loyola MD,Patriot
Navy,Patriot
Armstrong St,PBC
Birmingham So,SAA
Okla City,SAC
Alabama,SEC
Arkansas,SEC
Auburn,SEC
Florida,SEC
Georgia,SEC
Kentucky,SEC
LSU,SEC
Mississippi St,SEC
Missouri,SEC
Mississippi,SEC
South Carolina,SEC
Tennessee,SEC
Texas A&M,SEC
Vanderbilt,SEC
Chattanooga,SoCon
ETSU,SoCon
Furman,SoCon
Mercer,SoCon
Samford,SoCon
UNC Greensboro,SoCon
W Carolina,SoCon
Wofford,SoCon
VMI,SoCon
Citadel,SoCon
TAM C. Christi,Southland
Abilene Chr,Southland
Cent Arkansas,Southland
Houston Bap,Southland
Incarnate Word,Southland
Lamar,Southland
McNeese St,Southland
New Orleans,Southland
Nicholls St,Southland
Northwestern LA,Southland
Sam Houston St,Southland
SF Austin,Southland
SE Louisiana,Southland
Denver,Summit League
IPFW,Summit League
N Dakota St,Summit League
NE Omaha,Summit League
Oral Roberts,Summit League
South Dakota,Summit League
S Dakota St,Summit League
W Illinois,Summit League
Appalachian St,Sun Belt
Arkansas St,Sun Belt
Coastal Car,Sun Belt
Ga Southern,Sun Belt
Georgia St,Sun Belt
ULM,Sun Belt
Ark Little Rock,Sun Belt
ULL,Sun Belt
South Alabama,Sun Belt
Texas St,Sun Belt
Troy,Sun Belt
UT Arlington,Sun Belt
Alabama A&M,SWAC
Alabama St,SWAC
Alcorn St,SWAC
Ark Pine Bluff,SWAC
Grambling,SWAC
Jackson St,SWAC
MS Valley St,SWAC
Prairie View,SWAC
Southern Univ,SWAC
TX Southern,SWAC
Chicago St,WAC
CS Bakersfield,WAC
Grand Canyon,WAC
New Mexico St,WAC
Seattle,WAC
Missouri KC,WAC
Utah Valley,WAC
UTRGV,WAC
BYU,WCC
Gonzaga,WCC
Loy Marymount,WCC
Pacific,WCC
Pepperdine,WCC
Portland,WCC
St Mary's CA,WCC
San Diego,WCC
San Francisco,WCC
Santa Clara,WCC
